term_str|n|p|s|i|max_pos|max_pos_group|df|dfidf|stop|porter_stem
quarterstaff|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|3|20.523906761942825|0|quarterstaff
owns|4|2.2664147924360673e-06|441225.5|18.7511566462828|VBZ|VB|4|25.70505901880839|0|own
quavering|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|4|25.70505901880839|0|quaver
manfully|4|2.2664147924360673e-06|441225.5|18.7511566462828|RB|RB|4|25.70505901880839|0|man
hopfrog|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNP|NN|2|14.852529509404196|0|hopfrog
treatment|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|4|25.70505901880839|0|treatment
deerhide|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|2|14.852529509404196|0|deerhid
swordfight|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|4|25.70505901880839|0|swordfight
overtaken|4|2.2664147924360673e-06|441225.5|18.7511566462828|VBN|VB|3|20.523906761942825|0|overtaken
express|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|4|25.70505901880839|0|express
reclaimed|4|2.2664147924360673e-06|441225.5|18.7511566462828|VBD|VB|4|25.70505901880839|0|reclaim
sorting|4|2.2664147924360673e-06|441225.5|18.7511566462828|VBG|VB|4|25.70505901880839|0|sort
checks|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNS|NN|4|25.70505901880839|0|check
trapdoor|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|1|8.426264754702098|0|trapdoor
thighhigh|4|2.2664147924360673e-06|441225.5|18.7511566462828|JJ|JJ|4|25.70505901880839|0|thighhigh
gait|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|4|25.70505901880839|0|gait
stiffnecked|4|2.2664147924360673e-06|441225.5|18.7511566462828|JJ|JJ|4|25.70505901880839|0|stiffneck
nude|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|4|25.70505901880839|0|nude
chattels|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNS|NN|4|25.70505901880839|0|chattel
nonose|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNP|NN|2|14.852529509404196|0|nonos
basalt|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|3|20.523906761942825|0|basalt
unskilled|4|2.2664147924360673e-06|441225.5|18.7511566462828|VBN|VB|4|25.70505901880839|0|unskil
anthill|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|3|20.523906761942825|0|anthil
makings|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNS|NN|4|25.70505901880839|0|make
heynonnyhey|4|2.2664147924360673e-06|441225.5|18.7511566462828|JJ|JJ|1|8.426264754702098|0|heynonnyhey
acrid|4|2.2664147924360673e-06|441225.5|18.7511566462828|JJ|JJ|4|25.70505901880839|0|acrid
intoxicating|4|2.2664147924360673e-06|441225.5|18.7511566462828|VBG|VB|4|25.70505901880839|0|intox
endings|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNS|NN|2|14.852529509404196|0|end
suitor|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|4|25.70505901880839|0|suitor
chalky|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|4|25.70505901880839|0|chalki
effortlessly|4|2.2664147924360673e-06|441225.5|18.7511566462828|RB|RB|4|25.70505901880839|0|effortlessli
steamy|4|2.2664147924360673e-06|441225.5|18.7511566462828|JJ|JJ|4|25.70505901880839|0|steami
seller|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|2|14.852529509404196|0|seller
sailcloth|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|4|25.70505901880839|0|sailcloth
broach|4|2.2664147924360673e-06|441225.5|18.7511566462828|VB|VB|4|25.70505901880839|0|broach
dragonsbane|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNP|NN|2|14.852529509404196|0|dragonsban
chattel|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|3|20.523906761942825|0|chattel
tridents|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNS|NN|3|20.523906761942825|0|trident
fresher|4|2.2664147924360673e-06|441225.5|18.7511566462828|JJ|JJ|4|25.70505901880839|0|fresher
jenna|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNP|NN|2|14.852529509404196|0|jenna
footpad|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|4|25.70505901880839|0|footpad
aftertaste|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|4|25.70505901880839|0|aftertast
outcrop|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|4|25.70505901880839|0|outcrop
binder|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|2|14.852529509404196|0|binder
sightlessly|4|2.2664147924360673e-06|441225.5|18.7511566462828|RB|RB|4|25.70505901880839|0|sightlessli
madmen|4|2.2664147924360673e-06|441225.5|18.7511566462828|NNS|NN|4|25.70505901880839|0|madmen
neighbor|4|2.2664147924360673e-06|441225.5|18.7511566462828|NN|NN|4|25.70505901880839|0|neighbor
squirrelskin|4|2.2664147924360673e-06|441225.5|18.7511566462828|JJ|JJ|3|20.523906761942825|0|squirrelskin
